firstname;lastname;IBAN;category;amount;name;description;date
Laura;Succamore;BE06 8908 3856 3249;Toys;-1.061,72;Lind, Kutch and Streich;morbi porttitor lorem id;1/02/2021
Laura;Succamore;BE06 8908 3856 3250;Computers;-500,17;Zemlak, Raynor and Zieme;magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus;18/09/2020
Laura;Succamore;BE06 8908 3856 3251;Beauty;-724,17;Monahan-Turner;faucibus orci luctus et ultrices posuere cubilia curae donec;13/08/2020
Laura;Succamore;BE06 8908 3856 3252;Beauty;-242,02;Parker, Grimes and Sporer;urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat;13/11/2020
Laura;Succamore;BE06 8908 3856 3253;Garden;-1.262,34;Hills Inc;at vulputate vitae nisl aenean lectus pellentesque;14/09/2020
Laura;Succamore;BE06 8908 3856 3254;Beauty;300,12;Balistreri, Collins and Reichel;cras pellentesque volutpat dui;13/12/2020
Laura;Succamore;BE06 8908 3856 3255;Jewelery;323,71;Williamson-Grant;eros viverra eget congue eget semper rutrum nulla nunc purus;3/07/2020
Laura;Succamore;BE06 8908 3856 3256;Outdoors;8,40;Rosenbaum-Nitzsche;aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque;18/01/2021
Laura;Succamore;BE06 8908 3856 3257;Kids;-760,68;Volkman-Berge;;18/02/2021
Laura;Succamore;BE06 8908 3856 3258;Toys;-310,30;Hamill, Beatty and Bailey;ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae;3/01/2021
Laura;Succamore;BE06 8908 3856 3259;Baby;88,84;Becker, Mohr and Stark;imperdiet et commodo vulputate justo in blandit;26/04/2020
Laura;Succamore;BE06 8908 3856 3260;Grocery;-530,03;Crooks and Sons;venenatis non sodales sed tincidunt eu felis fusce posuere felis sed;4/03/2020
Laura;Succamore;BE06 8908 3856 3261;Outdoors;-526,62;Windler-Toy;ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est;1/03/2020
Laura;Succamore;BE06 8908 3856 3262;Sports;-690,49;Kunde-Hintz;diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis;20/01/2021
Laura;Succamore;BE06 8908 3856 3263;Tools;450,94;Eichmann, Schoen and Mayer;volutpat erat quisque erat eros viverra;8/02/2021
Laura;Succamore;BE06 8908 3856 3264;Kids;162,09;Hahn-Dickens;vestibulum velit id pretium iaculis diam erat fermentum justo nec;4/06/2020
Laura;Succamore;BE06 8908 3856 3265;Sports;382,56;Mante LLC;aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et;8/12/2020
Laura;Succamore;BE06 8908 3856 3266;Tools;-860,11;Cassin LLC;id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit;20/06/2020
Laura;Succamore;BE06 8908 3856 3267;Automotive;-1.041,67;Robel Group;magna bibendum imperdiet nullam orci pede venenatis non sodales;15/02/2021
Laura;Succamore;BE06 8908 3856 3268;Toys;-231,85;VonRueden, Sporer and Kutch;lacus purus aliquet at feugiat non pretium quis lectus suspendisse;28/04/2020
Laura;Succamore;BE06 8908 3856 3269;Computers;-1.237,96;Mohr Inc;eleifend luctus ultricies eu nibh quisque id justo sit;22/03/2020
Laura;Succamore;BE06 8908 3856 3270;Games;-225,34;Kutch Group;nisi vulputate nonummy maecenas tincidunt lacus at;23/05/2020
Laura;Succamore;BE06 8908 3856 3271;Jewelery;-1.139,05;Hagenes and Sons;sem fusce consequat nulla nisl nunc nisl duis;19/04/2020
Laura;Succamore;BE06 8908 3856 3272;Kids;406,56;Terry Group;nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse;27/09/2020
Laura;Succamore;BE06 8908 3856 3273;Grocery;-170,54;Spencer-Bednar;sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis;23/11/2020
Laura;Succamore;BE06 8908 3856 3274;Shoes;-826,67;Rice Inc;vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien;30/10/2020
Laura;Succamore;BE06 8908 3856 3275;Clothing;70,52;West Group;vestibulum proin eu mi nulla ac enim in tempor turpis;14/03/2020
Laura;Succamore;BE06 8908 3856 3276;Movies;-343,99;Lowe-Zieme;at turpis a pede posuere nonummy integer;27/01/2020
Laura;Succamore;BE06 8908 3856 3277;Kids;-597,75;Altenwerth, Rippin and Reynolds;libero rutrum ac lobortis vel dapibus;30/06/2020
Laura;Succamore;BE06 8908 3856 3278;Outdoors;341,95;Cronin, Sawayn and Kassulke;tristique fusce congue diam id ornare;29/06/2020
Laura;Succamore;BE06 8908 3856 3279;Health;-1.119,53;Cummerata-Romaguera;vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa;16/08/2020
Laura;Succamore;BE06 8908 3856 3280;Tools;-491,63;Davis-Leuschke;nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus;2/07/2020
Laura;Succamore;BE06 8908 3856 3281;Baby;-45,58;Kub, Gorczany and Krajcik;amet turpis elementum ligula vehicula consequat morbi a ipsum integer a;30/10/2020
Laura;Succamore;BE06 8908 3856 3282;Games;-821,10;Deckow-Rippin;consequat dui nec nisi volutpat;4/02/2020
Laura;Succamore;BE06 8908 3856 3283;Electronics;-443,71;Emmerich-Satterfield;nam congue risus semper porta volutpat quam pede lobortis ligula sit amet;24/02/2020
Laura;Succamore;BE06 8908 3856 3284;Beauty;-876,51;VonRueden LLC;blandit non interdum in ante vestibulum ante;1/08/2020
Laura;Succamore;BE06 8908 3856 3285;Movies;-1.163,32;Boyer, MacGyver and Hegmann;tincidunt eu felis fusce posuere felis sed lacus;13/05/2020
Laura;Succamore;BE06 8908 3856 3286;Sports;-706,33;Stoltenberg LLC;ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam;26/03/2020
Laura;Succamore;BE06 8908 3856 3287;Computers;-640,57;Hand, Nader and Orn;suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna;21/01/2020
Laura;Succamore;BE06 8908 3856 3288;Sports;-1.229,95;Bradtke-Smith;felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel;30/10/2020
Laura;Succamore;BE06 8908 3856 3289;Baby;-727,55;Lang, Grant and Stokes;tempus vel pede morbi porttitor;1/05/2020
Laura;Succamore;BE06 8908 3856 3290;Grocery;-145,23;Roob-Smith;erat quisque erat eros;28/06/2020
Laura;Succamore;BE06 8908 3856 3291;Kids;-495,52;Torp-Ratke;eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor;23/03/2020
Laura;Succamore;BE06 8908 3856 3292;Automotive;-1.047,68;Wyman LLC;habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla;26/10/2020
Laura;Succamore;BE06 8908 3856 3293;Industrial;492,25;Tillman Inc;platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at;29/01/2020
Laura;Succamore;BE06 8908 3856 3294;Electronics;-209,30;Boyle, Stracke and Gutkowski;justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat;13/07/2020
Laura;Succamore;BE06 8908 3856 3295;Health;-1.062,80;Carter-Hilpert;;28/01/2020
Laura;Succamore;BE06 8908 3856 3296;Automotive;-825,74;Wolff Inc;ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est;30/12/2020
Laura;Succamore;BE06 8908 3856 3297;Health;-535,53;Gutmann-Hansen;vestibulum sed magna at;14/01/2021
Laura;Succamore;BE06 8908 3856 3298;Garden;407,00;Hamill, Reichel and Roberts;dignissim vestibulum vestibulum ante ipsum;17/11/2020
Laura;Succamore;BE06 8908 3856 3299;Clothing;-994,23;Keebler-Kreiger;at diam nam tristique tortor eu;3/01/2020
Laura;Succamore;BE06 8908 3856 3300;Garden;450,34;Russel-Oberbrunner;semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin;29/01/2020
Laura;Succamore;BE06 8908 3856 3301;Shoes;-569,39;Hettinger, Blick and Bogan;massa id lobortis convallis;28/01/2021
Laura;Succamore;BE06 8908 3856 3302;Outdoors;-117,09;Lemke-McLaughlin;sapien sapien non mi integer;26/12/2020
Laura;Succamore;BE06 8908 3856 3303;Kids;-58,03;Stamm-King;dapibus duis at velit eu est congue elementum in hac;19/01/2021
Laura;Succamore;BE06 8908 3856 3304;Movies;-1.168,26;Boehm and Sons;tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras;30/09/2020
Laura;Succamore;BE06 8908 3856 3305;Computers;-707,66;Emmerich, Hermann and Quitzon;ligula nec sem duis aliquam;5/05/2020
Laura;Succamore;BE06 8908 3856 3306;Toys;-194,87;Stehr Inc;turpis donec posuere metus vitae ipsum aliquam non;29/04/2020
Laura;Succamore;BE06 8908 3856 3307;Shoes;-472,48;Howe, Mayert and Sawayn;vel augue vestibulum ante ipsum primis in;26/08/2020
Laura;Succamore;BE06 8908 3856 3308;Outdoors;-978,35;Considine, Doyle and Schowalter;vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur;2/01/2020
Laura;Succamore;BE06 8908 3856 3309;Health;-528,32;Crist, Wilkinson and Johnston;faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis;5/05/2020
Laura;Succamore;BE06 8908 3856 3310;Baby;65,33;Windler, Kuhn and Hoeger;odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet;11/05/2020
Laura;Succamore;BE06 8908 3856 3311;Beauty;52,95;Ernser-White;;11/11/2020
Laura;Succamore;BE06 8908 3856 3312;Garden;212,88;Lueilwitz Group;justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan;5/02/2021
Laura;Succamore;BE06 8908 3856 3313;Industrial;-1.121,69;Carroll-Kilback;ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at;21/01/2021
Laura;Succamore;BE06 8908 3856 3314;Clothing;-82,28;Raynor, Schmeler and Ferry;parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur;1/02/2021
Laura;Succamore;BE06 8908 3856 3315;Games;-277,23;Terry-Marquardt;;11/07/2020
Laura;Succamore;BE06 8908 3856 3316;Games;-648,91;Doyle-Hamill;morbi ut odio cras mi pede malesuada in imperdiet et commodo;8/01/2020
Laura;Succamore;BE06 8908 3856 3317;Toys;130,26;Buckridge-Willms;eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum;26/09/2020
Laura;Succamore;BE06 8908 3856 3318;Automotive;388,98;Wiegand Inc;sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget;13/08/2020
Laura;Succamore;BE06 8908 3856 3319;Books;-579,33;Bailey, Ferry and Quitzon;consequat metus sapien ut;8/11/2020
Laura;Succamore;BE06 8908 3856 3320;Home;-216,69;Williamson, Nolan and Durgan;id nisl venenatis lacinia aenean sit amet;27/03/2020
Laura;Succamore;BE06 8908 3856 3321;Books;-576,99;Williamson-Becker;;10/06/2020
Laura;Succamore;BE06 8908 3856 3322;Kids;-207,81;Goldner LLC;rutrum nulla nunc purus phasellus in felis donec semper sapien;17/02/2021
Laura;Succamore;BE06 8908 3856 3323;Grocery;431,73;Krajcik and Sons;blandit nam nulla integer pede;5/07/2020
Laura;Succamore;BE06 8908 3856 3324;Shoes;-1.132,26;Runolfsson-Gulgowski;elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque;12/04/2020
